seendate,title,url,domain,language,sourcecountry,query_used,seendate_dt,date,title_clean,_vader_text,vader_compound,vader_label,vader_label_num
20251101T204500Z,AI chipmaker Nvidia hits record $5 trillion market valuation,http://www.clevelandstar.com/news/278665805/ai-chipmaker-nvidia-hits-record-usd5-trillion-market-valuation,clevelandstar.com,English,United States,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-01 20:45:00+00:00,2025-11-01,AI chipmaker Nvidia hits record $5 trillion market valuation,ai chipmaker nvidia hits record $5 trillion market valuation,0.0,neutral,0
20251101T201500Z,"Microsoft CEO Doesnt Want to Buy NVIDIA AI GPUs  Beyond One Generation , Hints at a Compute Glut Driven by Energy Constraints",https://wccftech.com/microsoft-ceo-doesnt-want-buy-over-one-generation-of-nvidia-ai-gpus/,wccftech.com,English,United States,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-01 20:15:00+00:00,2025-11-01,"Microsoft CEO Doesnt Want to Buy NVIDIA AI GPUs Beyond One Generation , Hints at a Compute Glut Driven by Energy Constraints","microsoft ceo doesnt want to buy nvidia ai gpus beyond one generation , hints at a compute glut driven by energy constraints",0.2211,positive,1
20251101T220000Z,"NVIDIA ( NVDA ) CEO Is Confident Chinese Military Wont Use His GPUs , Says Jim Cramer",https://www.insidermonkey.com/blog/nvidia-nvda-ceo-is-confident-chinese-military-wont-use-his-gpus-says-jim-cramer-1638866/,insidermonkey.com,English,United States,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-01 22:00:00+00:00,2025-11-01,"NVIDIA ( NVDA ) CEO Is Confident Chinese Military Wont Use His GPUs , Says Jim Cramer","nvidia ( nvda ) ceo is confident chinese military wont use his gpus , says jim cramer",0.4939,positive,1
20251101T130000Z,"Nvidia news today : Korea GPU build - out , Samsung  AI factory  plan , and a $5T milestone keep NVDA in the spotlight",https://www.el-balad.com/6751658,el-balad.com,English,Egypt,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-01 13:00:00+00:00,2025-11-01,"Nvidia news today : Korea GPU build - out , Samsung AI factory plan , and a $5T milestone keep NVDA in the spotlight","nvidia news today : korea gpu build - out , samsung ai factory plan , and a $5t milestone keep nvda in the spotlight",0.0,neutral,0
20251102T191500Z,1 Super Semiconductor Stock to Buy Hand Over Fist ( Hint : Not Nvidia ) ,https://finance.yahoo.com/news/1-super-semiconductor-stock-buy-180000634.html,finance.yahoo.com,English,United States,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-02 19:15:00+00:00,2025-11-02,1 Super Semiconductor Stock to Buy Hand Over Fist ( Hint : Not Nvidia ),1 super semiconductor stock to buy hand over fist ( hint : not nvidia ),0.7964,positive,1
20251102T181500Z,Analyst Says Broadcom ( AVGO ) Among the Best AI Semiconductor Stocks to Benefit from Bull Run Until 2030,https://finance.yahoo.com/news/analyst-says-broadcom-avgo-among-171835306.html,finance.yahoo.com,English,United States,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-02 18:15:00+00:00,2025-11-02,Analyst Says Broadcom ( AVGO ) Among the Best AI Semiconductor Stocks to Benefit from Bull Run Until 2030,analyst says broadcom ( avgo ) among the best ai semiconductor stocks to benefit from bull run until 2030,0.802,positive,1
20251102T144500Z,Microsoft CEO Limits NVIDIA AI GPU Purchases Amid Potential Compute Glut,https://www.el-balad.com/6753091,el-balad.com,English,Egypt,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-02 14:45:00+00:00,2025-11-02,Microsoft CEO Limits NVIDIA AI GPU Purchases Amid Potential Compute Glut,microsoft ceo limits nvidia ai gpu purchases amid potential compute glut,0.0,neutral,0
20251102T010000Z,Business News : CES 2022 : Intel has an exciting update about its upcoming Arc GPUs ; Details inside,https://www.rashtranews.com/business-news-ces-2022-intel-has-an-exciting-update-about-its-upcoming-arc-gpus-details-inside/,rashtranews.com,English,India,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-02 01:00:00+00:00,2025-11-02,Business News : CES 2022 : Intel has an exciting update about its upcoming Arc GPUs ; Details inside,business news : ces 2022 : intel has an exciting update about its upcoming arc gpus ; details inside,0.4939,positive,1
20251103T220000Z,"After confusing driver release , AMD says old GPUs are still actively supported",https://arstechnica.com/gadgets/2025/11/amd-says-that-its-not-pulling-driver-support-for-older-radeon-gpus-afterall/,arstechnica.com,English,United States,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-03 22:00:00+00:00,2025-11-03,"After confusing driver release , AMD says old GPUs are still actively supported","after confusing driver release , amd says old gpus are still actively supported",0.4019,positive,1
20251103T210000Z,"Adeia Sues AMD Over Semiconductor Patents , Including Advanced 3D Stacking Used In Ryzen X3D CPUs",https://wccftech.com/adeia-sues-amd-over-semiconductor-patents-including-advanced-3d-stacking/,wccftech.com,English,United States,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-03 21:00:00+00:00,2025-11-03,"Adeia Sues AMD Over Semiconductor Patents , Including Advanced 3D Stacking Used In Ryzen X3D CPUs","adeia sues amd over semiconductor patents , including advanced 3d stacking used in ryzen x3d cpus",0.25,positive,1
20251103T183000Z,Broadcom Eyes AI Semiconductor Growth Boom Through 2030,https://www.webpronews.com/broadcom-eyes-ai-semiconductor-growth-boom-through-2030/,webpronews.com,English,United States,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-03 18:30:00+00:00,2025-11-03,Broadcom Eyes AI Semiconductor Growth Boom Through 2030,broadcom eyes ai semiconductor growth boom through 2030,0.3818,positive,1
20251103T180000Z,Intel quietly rolls out new Holiday bundle for Arc GPUs and Core Ultra CPUs,https://www.kitguru.net/tech-news/featured-tech-news/joao-silva/intel-quietly-rolls-out-new-holiday-bundle-for-arc-gpus-and-core-ultra-cpus/,kitguru.net,English,United Kingdom,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-03 18:00:00+00:00,2025-11-03,Intel quietly rolls out new Holiday bundle for Arc GPUs and Core Ultra CPUs,intel quietly rolls out new holiday bundle for arc gpus and core ultra cpus,0.4019,positive,1
20251103T134500Z,Is Advanced Micro Devices ( AMD ) The Best Semiconductor Stock to Benefit from AI Bull Run Until 2030 ? ,https://www.insidermonkey.com/blog/is-advanced-micro-devices-amd-the-best-semiconductor-stock-to-benefit-from-ai-bull-run-until-2030-1638485/,insidermonkey.com,English,United States,"(""Applied Materials"" OR ""Lam Research"" OR Broadcom OR Micron) sourcelang:eng",2025-11-03 13:45:00+00:00,2025-11-03,Is Advanced Micro Devices ( AMD ) The Best Semiconductor Stock to Benefit from AI Bull Run Until 2030 ?,is advanced micro devices ( amd ) the best semiconductor stock to benefit from ai bull run until 2030 ?,0.8481,positive,1
20251103T121500Z,"Semiconductor units of CG Power , Micron & Kaynes have begun pilot production : Ashwini Vaishnaw",https://www.thehindubusinessline.com/news/semiconductor-units-of-cg-power-micron-kaynes-have-begun-pilot-production-ashwini-vaishnaw/article70235832.ece,thehindubusinessline.com,English,India,"(""Applied Materials"" OR ""Lam Research"" OR Broadcom OR Micron) sourcelang:eng",2025-11-03 12:15:00+00:00,2025-11-03,"Semiconductor units of CG Power , Micron & Kaynes have begun pilot production : Ashwini Vaishnaw","semiconductor units of cg power , micron & kaynes have begun pilot production : ashwini vaishnaw",0.0,neutral,0
