d_model,nhead,ff_dim,num_layers,dropout,lr,batch_size,use_pos_weight,epochs,patience,early_stop_on,val_acc,val_precision,val_recall,val_f1,val_roc_auc,val_threshold,test_acc,test_precision,test_recall,test_f1,test_roc_auc
64,2,512,1,0.4,0.001,16,True,50,2,roc_auc,0.8028169014084507,0.7428571428571429,0.8387096774193549,0.7878787878787878,0.8064516129032259,0.375,0.5408163265306123,0.5238095238095238,0.6875,0.5945945945945946,0.51125
256,4,256,2,0.3,0.0003,32,True,50,2,roc_auc,0.7464788732394366,0.696969696969697,0.7419354838709677,0.71875,0.7991935483870968,0.45000000000000007,0.4897959183673469,0.48214285714285715,0.5625,0.5192307692307693,0.48916666666666664
128,4,128,1,0.3,0.0005,32,True,50,2,roc_auc,0.8028169014084507,0.8148148148148148,0.7096774193548387,0.7586206896551724,0.7975806451612903,0.475,0.5918367346938775,0.5952380952380952,0.5208333333333334,0.5555555555555556,0.6279166666666667
64,4,512,1,0.1,0.0005,32,False,50,2,roc_auc,0.7183098591549296,0.6410256410256411,0.8064516129032258,0.7142857142857143,0.7943548387096775,0.45000000000000007,0.5510204081632653,0.532258064516129,0.6875,0.6,0.5974999999999999
64,4,128,3,0.3,0.0005,32,True,50,2,roc_auc,0.7464788732394366,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.7870967741935484,0.475,0.5102040816326531,0.5,0.4166666666666667,0.45454545454545453,0.5379166666666666
256,2,256,2,0.1,0.0003,16,False,50,2,roc_auc,0.7323943661971831,0.6666666666666666,0.7741935483870968,0.7164179104477612,0.7838709677419355,0.325,0.6326530612244898,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.6908333333333333
256,4,512,3,0.3,0.0005,32,False,50,2,roc_auc,0.676056338028169,0.6052631578947368,0.7419354838709677,0.6666666666666666,0.7798387096774193,0.475,0.5510204081632653,0.5357142857142857,0.625,0.5769230769230769,0.5612499999999999
256,4,128,1,0.3,0.0003,16,False,50,2,roc_auc,0.7323943661971831,0.6578947368421053,0.8064516129032258,0.7246376811594203,0.7725806451612903,0.45000000000000007,0.5510204081632653,0.54,0.5625,0.5510204081632653,0.5816666666666668
256,4,128,3,0.1,0.001,16,False,50,2,roc_auc,0.6901408450704225,0.6666666666666666,0.5806451612903226,0.6206896551724138,0.7709677419354839,0.1,0.46938775510204084,0.46153846153846156,0.5,0.48,0.5291666666666667
64,2,128,2,0.4,0.0003,16,False,50,2,roc_auc,0.6901408450704225,0.6097560975609756,0.8064516129032258,0.6944444444444444,0.7701612903225806,0.375,0.45918367346938777,0.4626865671641791,0.6458333333333334,0.5391304347826087,0.5495833333333333
128,8,128,3,0.2,0.0005,16,False,50,2,roc_auc,0.6338028169014085,0.5471698113207547,0.9354838709677419,0.6904761904761905,0.7677419354838709,0.325,0.45918367346938777,0.4691358024691358,0.7916666666666666,0.5891472868217055,0.5358333333333333
64,8,128,3,0.4,0.0003,32,True,50,2,roc_auc,0.7464788732394366,0.7241379310344828,0.6774193548387096,0.7,0.7653225806451612,0.475,0.5510204081632653,0.5434782608695652,0.5208333333333334,0.5319148936170213,0.5812499999999999
128,8,512,3,0.4,0.0003,16,True,50,2,roc_auc,0.647887323943662,0.5555555555555556,0.967741935483871,0.7058823529411765,0.7629032258064516,0.1,0.5204081632653061,0.5066666666666667,0.7916666666666666,0.6178861788617886,0.615
256,4,128,2,0.1,0.0005,16,False,50,2,roc_auc,0.7746478873239436,0.7777777777777778,0.6774193548387096,0.7241379310344828,0.7588709677419355,0.35,0.5306122448979592,0.5217391304347826,0.5,0.5106382978723404,0.5695833333333332
64,2,128,1,0.2,0.0005,32,True,50,2,roc_auc,0.704225352112676,0.6190476190476191,0.8387096774193549,0.7123287671232876,0.7588709677419355,0.525,0.5102040816326531,0.5,0.75,0.6,0.5625
256,2,128,1,0.4,0.0005,32,False,50,2,roc_auc,0.6901408450704225,0.6046511627906976,0.8387096774193549,0.7027027027027027,0.757258064516129,0.4,0.6122448979591837,0.5757575757575758,0.7916666666666666,0.6666666666666666,0.6733333333333333
64,2,256,2,0.4,0.0003,32,False,50,2,roc_auc,0.6901408450704225,0.6,0.8709677419354839,0.7105263157894737,0.7564516129032258,0.35,0.5612244897959183,0.5352112676056338,0.7916666666666666,0.6386554621848739,0.5970833333333333
128,2,512,2,0.2,0.0005,16,True,50,2,roc_auc,0.7605633802816901,0.7692307692307693,0.6451612903225806,0.7017543859649122,0.7548387096774193,0.7000000000000001,0.5510204081632653,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.6445833333333334
64,2,128,1,0.3,0.001,32,False,50,2,roc_auc,0.7464788732394366,0.7241379310344828,0.6774193548387096,0.7,0.7540322580645161,0.5,0.6020408163265306,0.6097560975609756,0.5208333333333334,0.5617977528089888,0.6395833333333333
256,2,256,3,0.4,0.0005,32,True,50,2,roc_auc,0.6901408450704225,0.6097560975609756,0.8064516129032258,0.6944444444444444,0.7532258064516129,0.475,0.5204081632653061,0.509090909090909,0.5833333333333334,0.5436893203883495,0.47916666666666663
256,8,512,1,0.4,0.0003,16,True,50,2,roc_auc,0.704225352112676,0.6388888888888888,0.7419354838709677,0.6865671641791045,0.7532258064516129,0.30000000000000004,0.5102040816326531,0.5,0.6875,0.5789473684210527,0.5754166666666667
128,2,128,2,0.1,0.0003,16,True,50,2,roc_auc,0.6619718309859155,0.574468085106383,0.8709677419354839,0.6923076923076923,0.7524193548387097,0.42500000000000004,0.6020408163265306,0.5692307692307692,0.7708333333333334,0.6548672566371682,0.6241666666666668
256,2,512,2,0.1,0.001,32,True,50,2,roc_auc,0.7323943661971831,0.6764705882352942,0.7419354838709677,0.7076923076923077,0.7516129032258064,0.125,0.6224489795918368,0.627906976744186,0.5625,0.5934065934065934,0.7150000000000001
128,2,512,2,0.1,0.0005,16,True,50,2,roc_auc,0.7183098591549296,0.7391304347826086,0.5483870967741935,0.6296296296296297,0.75,0.2,0.6122448979591837,0.6190476190476191,0.5416666666666666,0.5777777777777777,0.645
64,8,256,1,0.1,0.001,32,True,50,2,roc_auc,0.676056338028169,0.5952380952380952,0.8064516129032258,0.684931506849315,0.7491935483870968,0.2,0.6020408163265306,0.576271186440678,0.7083333333333334,0.6355140186915887,0.6325
256,2,256,1,0.3,0.0005,32,False,50,2,roc_auc,0.6197183098591549,0.54,0.8709677419354839,0.6666666666666666,0.7483870967741936,0.35,0.5510204081632653,0.5303030303030303,0.7291666666666666,0.6140350877192983,0.6004166666666666
256,4,256,3,0.1,0.0005,32,False,50,2,roc_auc,0.647887323943662,0.5681818181818182,0.8064516129032258,0.6666666666666666,0.7475806451612903,0.475,0.5,0.49295774647887325,0.7291666666666666,0.5882352941176471,0.5229166666666668
128,2,256,3,0.2,0.0005,16,False,50,2,roc_auc,0.704225352112676,0.631578947368421,0.7741935483870968,0.6956521739130435,0.7475806451612903,0.30000000000000004,0.5612244897959183,0.5396825396825397,0.7083333333333334,0.6126126126126126,0.5720833333333333
128,2,512,3,0.2,0.0005,32,True,50,2,roc_auc,0.704225352112676,0.6190476190476191,0.8387096774193549,0.7123287671232876,0.746774193548387,0.55,0.5816326530612245,0.5522388059701493,0.7708333333333334,0.6434782608695652,0.60875
128,4,128,2,0.4,0.001,32,False,50,2,roc_auc,0.7464788732394366,0.696969696969697,0.7419354838709677,0.71875,0.7443548387096774,0.45000000000000007,0.5102040816326531,0.5,0.4791666666666667,0.48936170212765956,0.5108333333333334
64,8,256,1,0.1,0.0003,16,True,50,2,roc_auc,0.5915492957746479,0.5185185185185185,0.9032258064516129,0.6588235294117647,0.7443548387096774,0.475,0.6122448979591837,0.5694444444444444,0.8541666666666666,0.6833333333333333,0.6754166666666668
128,8,512,2,0.4,0.001,16,True,50,2,roc_auc,0.7464788732394366,0.7241379310344828,0.6774193548387096,0.7,0.7443548387096773,0.675,0.5612244897959183,0.5531914893617021,0.5416666666666666,0.5473684210526316,0.58
256,8,512,2,0.1,0.0003,32,False,50,2,roc_auc,0.6338028169014085,0.5510204081632653,0.8709677419354839,0.675,0.7427419354838709,0.4,0.46938775510204084,0.46774193548387094,0.6041666666666666,0.5272727272727272,0.5125
64,4,128,2,0.1,0.001,16,True,50,2,roc_auc,0.6901408450704225,0.6046511627906976,0.8387096774193549,0.7027027027027027,0.7427419354838709,0.225,0.5408163265306123,0.5272727272727272,0.6041666666666666,0.5631067961165048,0.5829166666666666
256,4,128,1,0.4,0.0003,16,False,50,2,roc_auc,0.6197183098591549,0.5416666666666666,0.8387096774193549,0.6582278481012658,0.7419354838709679,0.375,0.3979591836734694,0.42857142857142855,0.6875,0.528,0.40750000000000003
64,8,512,1,0.4,0.0005,32,False,50,2,roc_auc,0.704225352112676,0.6388888888888888,0.7419354838709677,0.6865671641791045,0.7387096774193549,0.42500000000000004,0.5,0.49206349206349204,0.6458333333333334,0.5585585585585585,0.5454166666666667
256,4,512,2,0.3,0.0005,32,True,50,2,roc_auc,0.676056338028169,0.6,0.7741935483870968,0.676056338028169,0.7387096774193549,0.1,0.5102040816326531,0.5,0.7083333333333334,0.5862068965517241,0.53625
256,8,256,3,0.3,0.001,16,False,50,2,roc_auc,0.676056338028169,0.5869565217391305,0.8709677419354839,0.7012987012987013,0.7387096774193548,0.375,0.5408163265306123,0.5217391304347826,0.75,0.6153846153846154,0.5925
256,8,512,1,0.1,0.0005,32,True,50,2,roc_auc,0.7183098591549296,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.7370967741935484,0.8,0.6122448979591837,0.6136363636363636,0.5625,0.5869565217391305,0.6870833333333333
128,4,256,3,0.3,0.001,16,True,50,2,roc_auc,0.6056338028169014,0.5283018867924528,0.9032258064516129,0.6666666666666666,0.7362903225806451,0.5,0.5306122448979592,0.5147058823529411,0.7291666666666666,0.603448275862069,0.6033333333333333
128,8,128,1,0.2,0.001,16,True,50,2,roc_auc,0.676056338028169,0.6,0.7741935483870968,0.676056338028169,0.735483870967742,0.2,0.5714285714285714,0.5483870967741935,0.7083333333333334,0.6181818181818182,0.6245833333333333
256,8,128,3,0.4,0.0003,32,True,50,2,roc_auc,0.7183098591549296,0.6341463414634146,0.8387096774193549,0.7222222222222222,0.735483870967742,0.45000000000000007,0.5102040816326531,0.5,0.7291666666666666,0.5932203389830508,0.5708333333333333
128,4,512,2,0.1,0.0005,32,True,50,2,roc_auc,0.676056338028169,0.5909090909090909,0.8387096774193549,0.6933333333333334,0.7354838709677419,0.45000000000000007,0.4489795918367347,0.453125,0.6041666666666666,0.5178571428571429,0.4708333333333333
128,2,512,2,0.4,0.0005,32,True,50,2,roc_auc,0.704225352112676,0.6470588235294118,0.7096774193548387,0.676923076923077,0.7346774193548388,0.4,0.5102040816326531,0.5,0.5416666666666666,0.52,0.5116666666666667
128,4,512,2,0.3,0.0005,16,True,50,2,roc_auc,0.647887323943662,0.5576923076923077,0.9354838709677419,0.6987951807228916,0.7322580645161291,0.2,0.4897959183673469,0.48717948717948717,0.7916666666666666,0.6031746031746031,0.5650000000000001
64,8,128,3,0.1,0.0005,32,False,50,2,roc_auc,0.5915492957746479,0.5178571428571429,0.9354838709677419,0.6666666666666666,0.7314516129032258,0.375,0.45918367346938777,0.4675324675324675,0.75,0.576,0.4541666666666667
256,4,512,1,0.4,0.0003,32,False,50,2,roc_auc,0.647887323943662,0.5625,0.8709677419354839,0.6835443037974683,0.7314516129032258,0.4,0.5408163265306123,0.5211267605633803,0.7708333333333334,0.6218487394957983,0.6070833333333334
256,4,512,2,0.4,0.001,16,False,50,2,roc_auc,0.704225352112676,0.65625,0.6774193548387096,0.6666666666666666,0.7314516129032258,0.275,0.6122448979591837,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6341666666666667
256,4,512,2,0.2,0.0005,32,False,50,2,roc_auc,0.6619718309859155,0.5897435897435898,0.7419354838709677,0.6571428571428571,0.7306451612903226,0.1,0.5714285714285714,0.5576923076923077,0.6041666666666666,0.58,0.56875
128,8,128,1,0.3,0.0003,16,False,50,2,roc_auc,0.6197183098591549,0.5434782608695652,0.8064516129032258,0.6493506493506493,0.7306451612903226,0.375,0.41836734693877553,0.44,0.6875,0.5365853658536586,0.48125
64,4,512,1,0.3,0.0003,32,True,50,2,roc_auc,0.6056338028169014,0.5272727272727272,0.9354838709677419,0.6744186046511628,0.7290322580645162,0.475,0.5306122448979592,0.5125,0.8541666666666666,0.640625,0.5958333333333334
128,8,128,3,0.3,0.001,32,False,50,2,roc_auc,0.7323943661971831,0.7,0.6774193548387096,0.6885245901639344,0.728225806451613,0.375,0.5612244897959183,0.5471698113207547,0.6041666666666666,0.5742574257425742,0.5845833333333332
128,2,512,2,0.3,0.001,32,True,50,2,roc_auc,0.647887323943662,0.5625,0.8709677419354839,0.6835443037974683,0.728225806451613,0.4,0.4897959183673469,0.48484848484848486,0.6666666666666666,0.5614035087719298,0.49000000000000005
64,2,128,3,0.1,0.001,32,True,50,2,roc_auc,0.6901408450704225,0.6216216216216216,0.7419354838709677,0.6764705882352942,0.728225806451613,0.525,0.5204081632653061,0.5087719298245614,0.6041666666666666,0.5523809523809524,0.5654166666666667
256,2,128,2,0.1,0.0003,16,False,50,2,roc_auc,0.6901408450704225,0.6097560975609756,0.8064516129032258,0.6944444444444444,0.7282258064516128,0.25,0.5408163265306123,0.5230769230769231,0.7083333333333334,0.6017699115044248,0.5845833333333333
256,2,128,1,0.4,0.001,16,True,50,2,roc_auc,0.6619718309859155,0.5660377358490566,0.967741935483871,0.7142857142857143,0.7282258064516128,0.35,0.5408163265306123,0.5189873417721519,0.8541666666666666,0.6456692913385826,0.6020833333333334
128,8,128,2,0.4,0.0005,32,True,50,2,roc_auc,0.7183098591549296,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.7282258064516128,0.42500000000000004,0.6224489795918368,0.7037037037037037,0.3958333333333333,0.5066666666666667,0.6558333333333333
128,4,128,2,0.4,0.0003,32,True,50,2,roc_auc,0.647887323943662,0.5714285714285714,0.7741935483870968,0.6575342465753424,0.7274193548387097,0.5,0.6428571428571429,0.6101694915254238,0.75,0.6728971962616822,0.6333333333333334
128,4,512,2,0.4,0.0005,32,False,50,2,roc_auc,0.704225352112676,0.631578947368421,0.7741935483870968,0.6956521739130435,0.7266129032258063,0.30000000000000004,0.5102040816326531,0.5,0.625,0.5555555555555556,0.5329166666666667
128,2,128,1,0.3,0.001,16,False,50,2,roc_auc,0.6619718309859155,0.5853658536585366,0.7741935483870968,0.6666666666666666,0.7258064516129032,0.35,0.5612244897959183,0.5409836065573771,0.6875,0.6055045871559633,0.6308333333333335
128,2,256,1,0.3,0.0005,32,False,50,2,roc_auc,0.6197183098591549,0.5384615384615384,0.9032258064516129,0.6746987951807228,0.7250000000000001,0.375,0.4897959183673469,0.48717948717948717,0.7916666666666666,0.6031746031746031,0.5625
64,8,128,3,0.1,0.001,32,True,50,2,roc_auc,0.7183098591549296,0.6571428571428571,0.7419354838709677,0.696969696969697,0.725,0.35,0.5510204081632653,0.5476190476190477,0.4791666666666667,0.5111111111111111,0.48875
64,4,512,3,0.4,0.0003,32,False,50,2,roc_auc,0.676056338028169,0.5952380952380952,0.8064516129032258,0.684931506849315,0.7241935483870968,0.125,0.46938775510204084,0.4696969696969697,0.6458333333333334,0.543859649122807,0.5058333333333334
256,4,512,1,0.1,0.0003,32,True,50,2,roc_auc,0.704225352112676,0.6388888888888888,0.7419354838709677,0.6865671641791045,0.7241935483870967,0.525,0.6224489795918368,0.5964912280701754,0.7083333333333334,0.6476190476190476,0.6695833333333334
256,4,512,2,0.4,0.0003,16,True,50,2,roc_auc,0.6901408450704225,0.6216216216216216,0.7419354838709677,0.6764705882352942,0.7233870967741935,0.475,0.5816326530612245,0.5660377358490566,0.625,0.594059405940594,0.6520833333333333
256,4,128,3,0.3,0.001,16,False,50,2,roc_auc,0.676056338028169,0.5952380952380952,0.8064516129032258,0.684931506849315,0.7233870967741935,0.15000000000000002,0.5714285714285714,0.56,0.5833333333333334,0.5714285714285714,0.59875
256,4,256,3,0.1,0.001,32,False,50,2,roc_auc,0.6197183098591549,0.54,0.8709677419354839,0.6666666666666666,0.7233870967741934,0.625,0.5102040816326531,0.5,0.7708333333333334,0.6065573770491803,0.5445833333333333
256,2,128,1,0.3,0.0003,16,True,50,2,roc_auc,0.647887323943662,0.5576923076923077,0.9354838709677419,0.6987951807228916,0.7225806451612904,0.5,0.5918367346938775,0.5512820512820513,0.8958333333333334,0.6825396825396826,0.6533333333333333
256,2,512,3,0.1,0.0003,32,True,50,2,roc_auc,0.6197183098591549,0.5370370370370371,0.9354838709677419,0.6823529411764706,0.7225806451612904,0.325,0.6326530612244898,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.65
64,4,512,3,0.4,0.0003,32,True,50,2,roc_auc,0.7183098591549296,0.7037037037037037,0.6129032258064516,0.6551724137931034,0.7225806451612904,0.375,0.5306122448979592,0.5192307692307693,0.5625,0.54,0.5691666666666667
64,4,256,2,0.2,0.0005,16,True,50,2,roc_auc,0.6197183098591549,0.5384615384615384,0.9032258064516129,0.6746987951807228,0.7225806451612903,0.4,0.5102040816326531,0.5,0.75,0.6,0.5366666666666666
128,8,512,1,0.2,0.001,16,False,50,2,roc_auc,0.6197183098591549,0.5357142857142857,0.967741935483871,0.6896551724137931,0.7225806451612903,0.375,0.45918367346938777,0.46153846153846156,0.625,0.5309734513274337,0.5287499999999999
256,8,128,2,0.3,0.0003,32,False,50,2,roc_auc,0.6197183098591549,0.54,0.8709677419354839,0.6666666666666666,0.7217741935483871,0.42500000000000004,0.4387755102040816,0.4533333333333333,0.7083333333333334,0.5528455284552846,0.48791666666666667
256,8,256,2,0.4,0.0003,16,True,50,2,roc_auc,0.6197183098591549,0.5416666666666666,0.8387096774193549,0.6582278481012658,0.7217741935483871,0.25,0.5714285714285714,0.5483870967741935,0.7083333333333334,0.6181818181818182,0.5966666666666666
64,2,256,1,0.4,0.0005,16,False,50,2,roc_auc,0.647887323943662,0.5681818181818182,0.8064516129032258,0.6666666666666666,0.721774193548387,0.35,0.4387755102040816,0.4492753623188406,0.6458333333333334,0.5299145299145299,0.45375
256,8,512,1,0.1,0.0005,32,False,50,2,roc_auc,0.7323943661971831,0.6764705882352942,0.7419354838709677,0.7076923076923077,0.720967741935484,0.45000000000000007,0.6122448979591837,0.6190476190476191,0.5416666666666666,0.5777777777777777,0.6095833333333334
128,2,256,3,0.2,0.001,16,True,50,2,roc_auc,0.7183098591549296,0.6896551724137931,0.6451612903225806,0.6666666666666666,0.7209677419354839,0.45000000000000007,0.5102040816326531,0.5,0.4166666666666667,0.45454545454545453,0.5029166666666667
128,2,128,2,0.2,0.001,32,True,50,2,roc_auc,0.6197183098591549,0.54,0.8709677419354839,0.6666666666666666,0.7201612903225807,0.4,0.5102040816326531,0.5,0.7083333333333334,0.5862068965517241,0.5441666666666667
256,4,256,3,0.4,0.001,16,False,50,2,roc_auc,0.704225352112676,0.6470588235294118,0.7096774193548387,0.676923076923077,0.7201612903225807,0.2,0.5918367346938775,0.5689655172413793,0.6875,0.6226415094339622,0.6379166666666666
64,8,512,1,0.3,0.001,32,False,50,2,roc_auc,0.704225352112676,0.6666666666666666,0.6451612903225806,0.6557377049180327,0.7201612903225806,0.45000000000000007,0.5816326530612245,0.559322033898305,0.6875,0.616822429906542,0.5891666666666666
128,8,128,3,0.4,0.0003,32,True,50,2,roc_auc,0.676056338028169,0.6052631578947368,0.7419354838709677,0.6666666666666666,0.7193548387096774,0.17500000000000002,0.5918367346938775,0.58,0.6041666666666666,0.5918367346938775,0.5908333333333333
256,8,128,3,0.4,0.0005,16,True,50,2,roc_auc,0.647887323943662,0.5576923076923077,0.9354838709677419,0.6987951807228916,0.7193548387096774,0.1,0.5816326530612245,0.5492957746478874,0.8125,0.6554621848739496,0.6354166666666666
64,8,256,2,0.1,0.0005,32,False,50,2,roc_auc,0.6056338028169014,0.5263157894736842,0.967741935483871,0.6818181818181818,0.7193548387096774,0.42500000000000004,0.4897959183673469,0.4868421052631579,0.7708333333333334,0.5967741935483871,0.5204166666666667
256,2,512,3,0.4,0.001,16,True,50,2,roc_auc,0.676056338028169,0.6,0.7741935483870968,0.676056338028169,0.7185483870967742,0.30000000000000004,0.47959183673469385,0.47619047619047616,0.625,0.5405405405405406,0.5079166666666667
256,4,128,1,0.4,0.0005,16,False,50,2,roc_auc,0.647887323943662,0.5789473684210527,0.7096774193548387,0.6376811594202898,0.717741935483871,0.35,0.5510204081632653,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.5912499999999999
64,4,512,2,0.1,0.0005,32,False,50,2,roc_auc,0.676056338028169,0.6111111111111112,0.7096774193548387,0.6567164179104478,0.717741935483871,0.4,0.4387755102040816,0.4426229508196721,0.5625,0.4954128440366973,0.45249999999999996
256,8,128,3,0.2,0.001,16,False,50,2,roc_auc,0.6901408450704225,0.6451612903225806,0.6451612903225806,0.6451612903225806,0.7177419354838709,0.125,0.6224489795918368,0.6122448979591837,0.625,0.6185567010309279,0.6858333333333334
256,4,128,2,0.3,0.0005,16,False,50,2,roc_auc,0.7183098591549296,0.6486486486486487,0.7741935483870968,0.7058823529411765,0.7161290322580646,0.525,0.5612244897959183,0.5510204081632653,0.5625,0.5567010309278351,0.6145833333333333
128,8,128,1,0.1,0.001,32,True,50,2,roc_auc,0.647887323943662,0.5681818181818182,0.8064516129032258,0.6666666666666666,0.7161290322580646,0.1,0.6020408163265306,0.576271186440678,0.7083333333333334,0.6355140186915887,0.6345833333333333
128,2,512,2,0.1,0.001,16,True,50,2,roc_auc,0.676056338028169,0.6111111111111112,0.7096774193548387,0.6567164179104478,0.7161290322580646,0.375,0.5204081632653061,0.5087719298245614,0.6041666666666666,0.5523809523809524,0.5554166666666667
256,8,256,2,0.1,0.0005,32,False,50,2,roc_auc,0.6619718309859155,0.5813953488372093,0.8064516129032258,0.6756756756756757,0.7161290322580645,0.42500000000000004,0.5510204081632653,0.5277777777777778,0.7916666666666666,0.6333333333333333,0.5791666666666666
128,2,512,1,0.3,0.001,16,True,50,2,roc_auc,0.704225352112676,0.625,0.8064516129032258,0.704225352112676,0.7161290322580645,0.325,0.4489795918367347,0.4423076923076923,0.4791666666666667,0.46,0.4533333333333333
256,2,128,3,0.3,0.0005,16,False,50,2,roc_auc,0.5915492957746479,0.5192307692307693,0.8709677419354839,0.6506024096385542,0.7153225806451613,0.125,0.5102040816326531,0.5,0.7916666666666666,0.6129032258064516,0.5654166666666667
64,8,512,2,0.3,0.0003,16,True,50,2,roc_auc,0.6197183098591549,0.5370370370370371,0.9354838709677419,0.6823529411764706,0.7153225806451613,0.35,0.4897959183673469,0.4883720930232558,0.875,0.6268656716417911,0.5954166666666667
128,4,256,3,0.2,0.0005,16,True,50,2,roc_auc,0.647887323943662,0.5789473684210527,0.7096774193548387,0.6376811594202898,0.7145161290322581,0.1,0.5612244897959183,0.5423728813559322,0.6666666666666666,0.5981308411214953,0.6070833333333332
128,8,512,2,0.3,0.0003,16,True,50,2,roc_auc,0.6056338028169014,0.5283018867924528,0.9032258064516129,0.6666666666666666,0.7145161290322581,0.525,0.5306122448979592,0.5131578947368421,0.8125,0.6290322580645161,0.5641666666666666
128,4,256,1,0.1,0.0003,16,False,50,2,roc_auc,0.676056338028169,0.58,0.9354838709677419,0.7160493827160493,0.7145161290322581,0.4,0.5816326530612245,0.559322033898305,0.6875,0.616822429906542,0.6320833333333333
256,2,256,3,0.3,0.001,32,True,50,2,roc_auc,0.6901408450704225,0.6285714285714286,0.7096774193548387,0.6666666666666666,0.714516129032258,0.225,0.6530612244897959,0.625,0.7291666666666666,0.6730769230769231,0.6545833333333333
256,2,512,2,0.1,0.0005,16,False,50,2,roc_auc,0.6056338028169014,0.5272727272727272,0.9354838709677419,0.6744186046511628,0.714516129032258,0.17500000000000002,0.5408163265306123,0.5176470588235295,0.9166666666666666,0.6616541353383458,0.6870833333333334
64,4,256,3,0.3,0.001,32,False,50,2,roc_auc,0.6197183098591549,0.54,0.8709677419354839,0.6666666666666666,0.7137096774193549,0.42500000000000004,0.5510204081632653,0.5285714285714286,0.7708333333333334,0.6271186440677966,0.6029166666666667
64,8,512,3,0.3,0.0005,32,False,50,2,roc_auc,0.5915492957746479,0.5185185185185185,0.9032258064516129,0.6588235294117647,0.7137096774193549,0.325,0.5204081632653061,0.5060240963855421,0.875,0.6412213740458015,0.6433333333333333
64,4,256,3,0.2,0.0005,32,False,50,2,roc_auc,0.7183098591549296,0.6666666666666666,0.7096774193548387,0.6875,0.7120967741935484,0.5,0.47959183673469385,0.45714285714285713,0.3333333333333333,0.3855421686746988,0.4654166666666667
128,4,256,2,0.3,0.001,32,True,50,2,roc_auc,0.704225352112676,0.75,0.4838709677419355,0.5882352941176471,0.7120967741935483,0.2,0.6020408163265306,0.6451612903225806,0.4166666666666667,0.5063291139240507,0.6516666666666667
64,2,512,2,0.4,0.001,32,True,50,2,roc_auc,0.6619718309859155,0.5777777777777777,0.8387096774193549,0.6842105263157895,0.7120967741935483,0.45000000000000007,0.5306122448979592,0.5166666666666667,0.6458333333333334,0.5740740740740741,0.5454166666666667
64,2,512,2,0.2,0.001,32,False,50,2,roc_auc,0.6901408450704225,0.6,0.8709677419354839,0.7105263157894737,0.7120967741935483,0.5,0.6428571428571429,0.6181818181818182,0.7083333333333334,0.6601941747572816,0.62
128,4,128,1,0.4,0.0005,32,False,50,2,roc_auc,0.6056338028169014,0.5263157894736842,0.967741935483871,0.6818181818181818,0.7112903225806451,0.225,0.5612244897959183,0.5316455696202531,0.875,0.6614173228346457,0.61125
64,2,512,3,0.3,0.0003,32,True,50,2,roc_auc,0.7183098591549296,0.6666666666666666,0.7096774193548387,0.6875,0.7112903225806451,0.375,0.5816326530612245,0.5538461538461539,0.75,0.6371681415929203,0.6341666666666667
256,8,128,2,0.3,0.001,32,False,50,2,roc_auc,0.647887323943662,0.5681818181818182,0.8064516129032258,0.6666666666666666,0.710483870967742,0.475,0.5306122448979592,0.5172413793103449,0.625,0.5660377358490566,0.5104166666666667
64,4,512,3,0.4,0.001,16,False,50,2,roc_auc,0.6619718309859155,0.574468085106383,0.8709677419354839,0.6923076923076923,0.7104838709677418,0.525,0.5204081632653061,0.5079365079365079,0.6666666666666666,0.5765765765765766,0.5179166666666666
64,8,256,3,0.4,0.0005,16,True,50,2,roc_auc,0.704225352112676,0.6470588235294118,0.7096774193548387,0.676923076923077,0.7096774193548387,0.45000000000000007,0.5408163265306123,0.5254237288135594,0.6458333333333334,0.5794392523364486,0.5691666666666667
128,8,256,1,0.1,0.001,32,False,50,2,roc_auc,0.647887323943662,0.5681818181818182,0.8064516129032258,0.6666666666666666,0.7096774193548386,0.4,0.6224489795918368,0.6170212765957447,0.6041666666666666,0.6105263157894737,0.6904166666666667
128,2,256,3,0.3,0.0005,16,True,50,2,roc_auc,0.5774647887323944,0.5087719298245614,0.9354838709677419,0.6590909090909091,0.7088709677419355,0.55,0.5204081632653061,0.5070422535211268,0.75,0.6050420168067226,0.5854166666666666
256,2,128,2,0.3,0.0005,16,True,50,2,roc_auc,0.6197183098591549,0.5416666666666666,0.8387096774193549,0.6582278481012658,0.7088709677419355,0.4,0.5918367346938775,0.5588235294117647,0.7916666666666666,0.6551724137931034,0.615
256,4,128,3,0.1,0.0005,32,False,50,2,roc_auc,0.6197183098591549,0.5384615384615384,0.9032258064516129,0.6746987951807228,0.7088709677419355,0.1,0.5918367346938775,0.5540540540540541,0.8541666666666666,0.6721311475409836,0.6758333333333332
